city,companyFullName,companyShortName,companySize,district,education,financeStage,positionName,salary,workYear,positionId,detail,kd
北京,汇联金科信息技术（北京 )有限公司,汇联金科,50-150人,朝阳区,本科,A轮,数据分析师,10k-15k,3-5年,4295741,"
职位描述：

工作职责：1. 根据业务实际需求，制定相应策略，完成深入的运营数据分析报告，对用户活跃、留存、有效行为等指标负责；2. 对运营数据进行分析与监控，能够基于数据进行用户画像描绘、用户分层，并针对不同用户指定不同的运营策略，拉新、促活；3. 统计分析相关业务数据，敏锐地发现异常，针对风险点进行持续追踪与预警；4、结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议任职要求：1. 本科及以上学历，经济、统计、数学、计算机等相关专业背景优先；2. 至少3年以上互联网金融行业用户研究、数据分析、数据运营、数据挖掘等相关经验；3 具备优秀的数据分析能力及策略制定能力，能够快速理解业务，有独立思考能力并提出自己的见解；4. 对数据敏感，能从海量数据提炼核心结果，具备优秀的数据处理能力、报告呈现于解说能力；5. 沟通能力强，具备一定的抗压性6. 熟练使用Excel，包括图表制作，函数及数据透视表运用等。熟练使用数理统计、数据分析、数据挖掘工具软件（如SPSS，SAS,Clementine 等）。精通数据分析方法：回归，时间序列，神经网络，聚类分析，关联分析，数据建模等分析方法

",fenxi
北京,途家网网络技术（北京）有限公司,途家网,500-2000人,朝阳区,本科,D轮及以上,数据分析师,15k-30k,3-5年,4505031,"
职位描述：

工作职责：1、通过SQL收集数据，分析流量、活动、订单等核心数据，形成可视化报表；2、分析用户行为、特性等，产出可行性的产品改进方案；3、挖掘数据背后的市场方向、规律、短板、为业务提供决策依据；4、按照业务需求，收集各个维度的数据，提出改善运营质量的方法和建议
任职资格：1、3年以上互联网数据经验2、逻辑能力强，擅长数据分析与需求调研3、有很强的数据调研分析能力，能清晰的给出产品定位，能深刻理解用户需求，从而提炼出产品的关键要素和核心功能4、在线旅行产品相关经验者优先5、良好的承压能力

",fenxi
北京,和信电子商务有限公司,和信贷,150-500人,朝阳区,大专,上市公司,数据分析师,6k-8k,3-5年,4507358,"
职位描述：


岗位职责：
1. 对数据敏感，善于发现业务中存在的问题，并给出优化建议；
2.熟悉用户生命周期管理建设，搭建用户分层体系，针对细分人群制定精细化策略，提升用户活跃及留存；
3. 整理并分析网站数据，撰写分析报告，从数据的角度给出运营建议；
4.密切关注行业动态及竞品情况，不断优化更新运营策略，及时对活动效果复盘。
5. 善于发现运营问题，进行深度专题分析，形成结论并独立撰写分析报告。
 任职资格：
1、 金融、统计、数学、计算机等专业优先；
2、 熟练使用Excel、SQL、SPSS，能够使用SAS、R、Python者优先；
3、积极主动，责任心强，考虑问题细致，执行力强。
   

",fenxi
北京,京东金融,京东金融,2000人以上,大兴区,本科,上市公司,数据分析师,14k-27k,3-5年,4505903,"
职位描述：

职责描述：
1、负责定期编制金融集团合并报表，完成报表变动分析；                                                                                                  2、作为金融集团对接人，配合集团报告部完成集团上市报告定期披露工作；                                                                                  3、与财务体系内各团队保持沟通，及时了解拟新上线的业务情况，协助评估新业务的会计处理。

任职要求：
1、计算机、统计学、数学、数理统计等相关专业，本科以上学历，3年以上相关工作经验； 
2、熟练掌握一种编程语言R，C/C++、java、python、perl等； 
3、熟悉Hadoop等至少一个分布式框架，了解MapReduce基本原理，具备分布式平台处理海量数据的项目经验；
4、对统计学和数据挖掘算法原理有较为深刻的理解，熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法优先；
5、有用户行为分析、用户建模、业务建模、数学建模经验优先；
6、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，自我学习驱动能力强，较强责任心；
7、具备良好的团队协作意识、时间意识、沟通能力，能够承担工作压力。
更多职位动态，敬请关注微信公众号“京东金融招聘”

",fenxi
北京,杭州云脑科技有限公司,云脑科技,15-50人,朝阳区,本科,A轮,数据分析师,15k-30k,3-5年,3898857,"
职位描述：

【岗位职责】
1、收集和整理公司运营数据、竞品数据、行业数据，解读趋势变化和异常波动，撰写分析报告；
2、针对业务需求，抽象和提炼出相关报表规格和数据生产需求；
3、针对业务需求，利用统计分析、建模、数据挖掘等手段，得出相关数据结论或预测，辅助决策。
【任职要求】
1、计算机、数学等理工科专业本科以上学历；
2、思路清晰，逻辑性强，具有较强的业务理解能力和表达沟通能力；
3、熟悉Excel/SciPy/R等一种或多种数据分析与建模工具；
4、熟悉某种数据库，能够书写较为复杂的SQL查询语句；
5、脚本语言运用熟练者优先，有Hadoop等分布式平台经验优先，有统计、数学建模、数据挖掘等教育和项目背景优先。
 

",fenxi
北京,北京永洪商智科技有限公司,永洪科技,150-500人,朝阳区,本科,C轮,数据分析师,20k-25k,5-10年,4008617,"
职位描述：

岗位职责：
1、负责咨询方案规划、编写、讲解及用户沟通等工作；
2、负责互联网、金融、制造等相关行业数据分析业务产品及解决方案设计；
3、与销售团队合作实现分析产品与咨询项目的客户达成；
4、配合相关人员完成应用系统演示、原型产品设计、产品宣传资料撰写等工作；
5、参与大项目总体规划、需求跟踪以及后期效果总结、实现客户持续成功；
6、了解同类产品，分析竞争对手产品，找出自己主打产品优点和亮点，更有竞争力销售。
7、知识分享与传递、共建有竞争力的管理咨询体系。
 
能力要求：
1、良好的沟通能力，较强的学习能力和敬业精神，思路清晰，稳重细心；
2、具有良好客户服务意识，配合销售人员与客户技术交流，做好售前工作；
3、具有对客户项目技术方案讲解和引导能力；
4、良好的沟通能力，有条理、针对性；
5、具有独立撰写解决方案的能力；
6、具有丰富的互联网、金融、制造等相关行业数据分析或挖掘经验，5年以上从事数据分析、挖掘相关工作，对数据分析有业务深刻理解；
7、能适应适当的出差，有良好的应变及承压能力 

",fenxi
北京,随行付支付有限公司,随行付支付有限公司,500-2000人,石景山区,本科,上市公司,数据分析师,20k-30k,3-5年,4042512,"
职位描述：

岗位职责：
1、支付业务的相关数据梳理；
2、对业务各环节产生的数据，做统计与深度运营挖掘分析，挖掘用户行为特征等；
3、通过数据分析手段，描述业务特征，结合市场行业状况，发现业务瓶颈并给出行动建议，以推动业务成长；
4、服从部门的管理及安排，推动分析问题的解决，为营销决策提供支持；
任职要求：
1、3年以上数据分析/挖掘相关工作经验，互联网、金融相关领域优先；
2、具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；
3、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；
4、具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。

",fenxi
北京,北京航天数据股份有限公司,航天数据,150-500人,海淀区,硕士,不需要融资,大数据分析师,20k-30k,1-3年,4408220,"
职位描述：

职位描述：
【岗位职责】：
1、负责海量工业数据的抓取，抽取、消重、分类、聚类、过滤等架构的设计；
2、负责采用 NLP/Machine Learning 等技术构建高可用数据模型；
3、负责机器学习算法设计、分析，模型训练等工作；
4、展开基于机器学习/深度学习的工业人工智能（智能分析与商业决策）等相关领域研究和开发工作；
5、负责从事深度学习框架搭建，包括机器学习、文本挖掘等的算法和系统研发。
 
【任职资格】：1、统招硕士及以上学历；
2、有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；
3、至少熟练掌握 Python/Java/C++ 其中一种语言，良好的编码风格，强悍的编码能力，有代码洁癖者加分；
4、熟悉爬虫 /搜索系统，有过海量数据爬虫 /搜索系统设计经验者加分；
5、熟悉基本的 NLP 概念和算法，有过分类 /聚类等机器学习经验者加分。

",fenxi
北京,国美在线电子商务有限公司,国美互联网,2000人以上,朝阳区,本科,上市公司,数据分析师,10k-20k,3-5年,4046804,"
职位描述：

职位描述
1、负责数据收集、汇总，对数据进行良好的展现和输出；
2、进行数据监测、数据分析、数据挖掘、总结规律，提出优化建议，做实时异常提醒；
3、从数据角度提出对产品、用户体验和业务发展提出有建设性的分析意见，支持部门相关流程优化；
4、关注行业信息，对竞争对手数据进行采集和分析，并提出相应的跟进措施；
5、负责与相关工作的人员做各类数据需求与对接，推动产品的发展与改进；
6、负责日常分析报告撰写，为营销渠道优化、平台运营开展以及产品优化提供决策依据与分析建议。
任职资格：
1、2年以上大中型企业运营数据分析相关工作经验，或相关咨询公司经验，有互联网公司运营分析背景更佳；
2、统计学、数学、计算机或相关专业本科以上学历优先考虑；
3、熟悉项目相关应用场景及分析方法，有数据实际运用的经验，有App数据分析经验优先考虑；
4、精通excel，具备优秀的数据统计及图表展现能力，良好分析能力，能独立撰写PPT分析报告，熟悉SPSS或SAS者优先；
5、工作认真负责，勇于承担责任，有良好的沟通能力，注重团队合作精神。

",fenxi
北京,北京麒麟合盛科技有限公司,APUS Group,150-500人,朝阳区,本科,B轮,大数据分析师,40k-80k,5-10年,4329758,"
职位描述：

岗位职责：
1.负责设计、优化数据打点方案，业务数据收集整理，搭建业务数据体系，结合业务对多种数据源进行深度诊断性组合分析、挖掘、深度分析；
2.对业务问题进行深入分析，为业务的策略、产品优化提供数据支持；跟踪业务数据，监测发展态势，为异常提供分析，参与制定运营策略，提出改进方案，进行结果评价。
3.业务问题进行深入分析，为业务的策略、产品优化提供数据支持；跟踪业务数据，监测发展态势，为异常提供分析，参与制定运营策略，提出改进方案，进行结果评价；
4.完成公司数据分析相关任务。
任职资格：
  1.统计、数学、信息技术、生物统计等专业本科及以上学历；
  2.熟悉数据库基本原理，熟练运用SQL，熟练操作excel、PPT；熟悉数据挖掘的基本原理，熟练操作SAS、SPSS clementine等数据分析/挖掘工具的优先；
  3.良好的数据敏感度，能从海量数据提炼核心结果，熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，给出建议；
 4.具备良好的沟通能力和团队精神，较强的学习能力，能承担一定的工作压力。
 5. 熟练掌握一种开发语言，灵活应用与本岗位工作相关的开发工具，具有基础的数据库编程和测试能力。
 6.精通mysql sql语句编写和PL/SQL 语言编程、性能和sql优化。
 7.精通Hive sql或者 Spark sql，有丰富的sql性能调优经验；熟悉Linux操作命令，能编写常用Shell或Python脚本；
 8.具备一定的数据挖掘以及建模能力。

",fenxi
